time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.71879913933e-08,1.2040049823e-07,10.0043273144,0.000124437869514,0.000103041724396,0.0,-9.05431141984e-06,1.10859942637e-05,0.144235761145,0.00592922731902,0.00494829805361,0.0,450.7709279545758,451.1705148956688,450.2233054887194,450.70264572534825
0.12000000000000001,-3.57389992597e-06,5.1469933276e-06,10.0143727277,0.00109463372848,0.000127491692331,0.0,-0.000123874175575,0.000223872835234,0.190604281168,0.0312906543413,-0.0107207750705,0.0,419.2003032684611,417.83675327152287,419.51526915961693,421.71123909910494
0.18,-1.11560590821e-05,5.08142565753e-05,10.0304655685,0.00302873005777,6.28262011588,0.0,-5.53232589687e-05,0.00150837581354,0.345788492334,0.0340592736579,-0.0132457113901,0.0,454.097441021047,453.8950114882066,454.1485523190024,454.37088918652984
0.23999999999999996,-8.04030804375e-07,0.00020848132016,10.0532762709,0.0047156045931,6.28129442289,0.0,0.000490870225628,0.00393260633777,0.414544542016,0.0122714341061,-0.0528800211025,0.0,429.5345275457951,426.1603153832538,427.1027608319363,425.2409979958897
0.3,7.83549709107e-05,0.00054161490821,10.0805296973,0.00511951726102,6.27805734143,0.0,0.00246471918209,0.00723137136899,0.493870292227,-0.00765741749755,-0.0561841457885,0.0,430.1890316323322,429.9071620372874,431.7715218629868,430.087125115718
0.36000000000000004,0.000351854511639,0.00108531176712,10.1143261569,0.00459233447986,6.27452680243,0.0,0.00702268952509,0.0108384585763,0.632609182174,-0.0111457410104,-0.0647705646959,0.0,449.25896850521514,448.55991916396243,449.84508571792367,449.5626895673904
0.4200000000000001,0.000989293887374,0.00183887736697,10.1576718044,0.00416376747607,6.27070986888,0.0,0.0146623741914,0.0142185890573,0.812130915034,-0.000145109987395,-0.0614012147747,0.0,461.564350642808,461.8273574922838,461.6578352535084,462.52499837588954
0.48000000000000015,0.00211203051581,0.0027688382622,10.2072023071,0.00417517863499,6.26683367584,0.0,0.0231056599236,0.0167801258126,0.838861578768,0.000852540932886,-0.0719270517359,0.0,413.00989223836086,412.0771336126747,414.82637882432317,414.91395969657503
0.5400000000000001,0.00389673607072,0.00387289641683,10.2630992121,0.00430573058055,6.26216413309,0.0,0.036892531578,0.0200316962176,1.02421130835,0.00469939222391,-0.0934883357896,0.0,464.4085313428721,462.70968819500814,464.2129367772066,464.5146173696911
0.6000000000000002,0.00653069740497,0.00515774981518,10.32594977,0.00440078989109,6.25658240835,0.0,0.0514316422357,0.0228150500335,1.07075204273,-0.00551590823094,-0.0921257113214,0.0,420.89105014074426,421.0011083319413,420.95692200871866,420.0721087682287
0.6600000000000003,0.0101940078645,0.00661767374239,10.3934298452,0.00440154165992,6.25081318191,0.0,0.0712566661913,0.0258333702925,1.17846141302,0.00925253045707,-0.105749674637,0.0,442.1742904092972,441.042559770566,438.9658944271039,440.18958917892576
0.7200000000000003,0.0152829703527,0.00827694326784,10.4707338905,0.00499444509493,6.24474861277,0.0,0.0991081641087,0.0295431254059,1.3980703966,0.0111113292078,-0.0930747266125,0.0,474.4775939030842,475.4413723881952,474.67667631494265,474.8191533154586
0.7800000000000004,0.0219224457755,0.0101394813388,10.5545088901,0.00518368301592,6.23908247762,0.0,0.122694850751,0.0325862643163,1.39441265857,-0.0217731811126,-0.0973042459842,0.0,405.0859706784353,404.69695255667057,406.29180431395724,403.33297124405135
0.8400000000000004,0.0303426361025,0.0122104268882,10.643927668,0.00397407992693,6.23306055401,0.0,0.158650620694,0.0362986859227,1.58593372882,-0.0171148863603,-0.107317958909,0.0,468.7026642618413,467.91564407180084,465.87938403036344,466.2434785195253
0.9000000000000005,0.0411607854318,0.0144848955736,10.7467284413,0.00349239806729,6.22615165899,0.0,0.202756733259,0.0394265712933,1.84033748992,0.00577838325397,-0.139326232531,0.0,486.8953470062607,484.48364871327266,485.74977729778396,487.4634816160192
0.9600000000000005,0.0546654122492,0.0169317277501,10.8623369346,0.00343661277025,6.21801699543,0.0,0.248308142856,0.0421557846349,2.01292925754,-0.0197983533516,-0.12898038761,0.0,462.5667819163188,463.3644920897053,464.0903978825092,462.07866744042997
1.0200000000000005,0.0709316193753,0.0195269199024,10.9859682736,0.00201178313699,6.21017675178,0.0,0.294674138337,0.0442190639858,2.10788438079,-0.033123285784,-0.13428182033,0.0,440.2753868327932,439.82068996701344,440.0794807680018,438.97510592597064
1.0800000000000005,0.0898758513747,0.0222079648547,11.1117257414,0.000179563506168,6.2019224405,0.0,0.337482927735,0.0449895882604,2.08401583172,-0.0258109131307,-0.145123100435,0.0,401.02729110788755,400.0214185989441,400.85690409155154,401.5203926816349
1.1400000000000006,0.111958499955,0.0249049218104,11.2411976389,6.28141409399,6.19292253562,0.0,0.399541512886,0.0447242152318,2.23134368951,-0.0513478768332,-0.162151125154,0.0,457.1585351714714,455.77897721772115,457.91451601564813,455.87813921473
1.2000000000000006,0.137698278556,0.0275433342312,11.3765794537,6.27807435465,6.18296429374,0.0,0.459367618948,0.0429213890827,2.28118224413,-0.0661009367886,-0.174966554818,0.0,427.0545732026998,425.9322823747739,427.42038111637356,426.1589219175689
1.2600000000000007,0.167340427151,0.0299999054564,11.51610379,6.27425137887,6.17205982236,0.0,0.529747224168,0.0385761113463,2.36931654544,-0.0593310043555,-0.200844253341,0.0,440.90613875220606,438.72985468519084,438.8740627555642,439.43256208470825
